Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"12,609,099,325,493","10,030,796,116,425"
I. Tiền và các khoản tương đương tiền,110,,"1,732,297,113,682","999,620,661,512"
1. Tiền,111,,"1,008,162,514,798","799,320,661,512"
2. Các khoản tương đương tiền,112,,"724,134,598,884","200,300,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"1,370,889,107,847","899,284,845,919"
1. Chứng khoán kinh doanh,121,,"691,827,262,888","403,156,950,516"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,"-67,055,613,671","-43,067,104,597"
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"746,117,458,630","539,195,000,000"
III. Các khoản phải thu ngắn hạn,130,,"6,221,573,572,054","5,447,159,078,206"
1. Phải thu ngắn hạn của khách hàng,131,,"1,465,907,313,248","1,026,526,902,684"
2. Trả trước cho người bán ngắn hạn,132,,"2,840,138,241,192","2,522,123,757,499"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"272,662,918","673,291,034"
6. Phải thu ngắn hạn khác,136,,"2,002,087,485,486","1,937,434,918,704"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-86,832,130,790","-39,599,791,715"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"3,135,813,384,323","2,529,346,657,059"
1. Hàng tồn kho,141,,"3,153,239,000,114","2,541,154,800,749"
2. Dự phòng giảm giá hàng tồn kho,149,,"-17,425,615,791","-11,808,143,690"
V.Tài sản ngắn hạn khác,150,,"148,526,147,587","155,384,873,729"
1. Chi phí trả trước ngắn hạn,151,,"35,701,146,168","48,619,538,175"
2. Thuế GTGT được khấu trừ,152,,"87,704,118,384","92,081,678,271"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"25,120,883,035","14,683,657,283"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"7,906,609,518,884","7,924,922,667,487"
I. Các khoản phải thu dài hạn,210,,"151,134,419,806","101,806,889,451"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,"127,442,984,491","92,623,661,450"
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"23,691,435,315","9,183,228,001"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"3,920,512,238,744","4,179,804,562,879"
1. Tài sản cố định hữu hình,221,,"3,493,984,320,852","3,844,903,217,562"
- Nguyên giá,222,,"8,291,668,293,417","8,484,840,315,880"
- Giá trị hao mòn lũy kế,223,,"-4,797,683,972,565","-4,639,937,098,318"
2. Tài sản cố định thuê tài chính,224,,"96,193,621,914","108,160,541,664"
- Nguyên giá,225,,"114,851,907,684","140,481,291,500"
- Giá trị hao mòn lũy kế,226,,"-18,658,285,770","-32,320,749,836"
3. Tài sản cố định vô hình,227,,"330,334,295,978","226,740,803,653"
- Nguyên giá,228,,"407,760,556,202","284,497,398,107"
