Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"4,156,909,796,732","3,785,363,191,019","14,917,225,476,172","12,923,457,051,438"
2. Các khoản giảm trừ doanh thu,02,,"4,410,238,960","18,668,472,814","15,622,657,469","34,774,449,661"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"4,152,499,557,772","3,766,694,718,205","14,901,602,818,703","12,888,682,601,777"
4. Giá vốn hàng bán,11,,"3,471,952,818,863","3,202,853,060,184","12,717,954,314,965","11,434,141,815,578"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"680,546,738,909","563,841,658,021","2,183,648,503,738","1,454,540,786,199"
6. Doanh thu hoạt động tài chính,21,,"208,921,127,970","87,667,464,452","507,216,199,011","730,201,665,535"
7. Chi phí tài chính,22,,"301,660,068,898","208,089,456,154","906,537,930,930","853,865,883,976"
- Trong đó: Chi phí lãi vay,23,,"198,135,398,566","178,764,061,397","665,298,652,879","685,620,883,846"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,"-1,298,555,342","20,341,189,951","16,052,070,599","18,736,282,164"
9. Chi phí bán hàng,25,,"135,284,274,390","107,615,287,921","526,652,748,657","446,086,303,998"
10. Chi phí quản lý doanh nghiệp,26,,"195,744,260,085","80,403,597,992","480,098,697,613","381,565,980,379"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"255,480,708,164","275,741,970,357","793,627,396,148","521,960,565,545"
12. Thu nhập khác,31,,"19,911,933,244","20,193,553,279","65,117,139,295","48,566,222,616"
13. Chi phí khác,32,,"25,366,665,738","12,748,273,270","60,694,888,908","58,167,071,012"
14. Lợi nhuận khác(40=31-32),40,,"-5,454,732,494","7,445,280,009","4,422,250,387","-9,600,848,396"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"250,025,975,670","283,187,250,366","798,049,646,535","512,359,717,149"
16. Chi phí thuế TNDN hiện hành,51,,"62,845,552,770","56,057,811,539","145,770,642,272","136,720,597,833"
17. Chi phí thuế TNDN hoãn lại,52,,"-8,178,861,315","11,597,132,140","-22,365,848,198","12,719,302,684"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"195,359,284,215","215,532,306,687","674,644,852,461","362,919,816,632"
19. Lợi nhuận sau thuế công ty mẹ,61,,"197,124,598,085","233,094,556,528","669,205,310,492","364,259,001,778"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"-1,765,313,870","-17,562,249,841","5,439,541,969","-1,339,185,146"
21. Lãi cơ bản trên cổ phiếu(*),70,,312,390,"1,054",593
22. Lãi suy giảm trên cổ phiếu (*),71,,271,381,947,580
