Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"15,612,208,098,826","12,577,330,513,959"
I. Tiền và các khoản tương đương tiền,110,,"1,372,552,178,660","1,823,297,113,682"
1. Tiền,111,,"620,145,794,892","1,008,162,514,798"
2. Các khoản tương đương tiền,112,,"752,406,383,768","815,134,598,884"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"1,837,667,508,148","1,239,955,689,130"
1. Chứng khoán kinh doanh,121,,"804,797,163,620","671,893,844,171"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,"-9,325,542,047","-67,055,613,671"
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"1,042,195,886,575","635,117,458,630"
III. Các khoản phải thu ngắn hạn,130,,"8,335,609,478,363","6,219,459,439,416"
1. Phải thu ngắn hạn của khách hàng,131,,"1,973,142,978,079","1,439,713,356,060"
2. Trả trước cho người bán ngắn hạn,132,,"4,699,498,448,840","3,018,336,296,112"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"45,271,948,845","272,662,918"
6. Phải thu ngắn hạn khác,136,,"1,742,236,752,329","1,811,707,695,287"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-124,574,656,352","-50,570,570,961"
8. Tài sản Thiếu chờ xử lý,139,,"34,006,622",0
IV. Hàng tồn kho,140,,"3,917,004,390,710","3,158,779,109,857"
1. Hàng tồn kho,141,,"3,940,954,622,606","3,176,587,967,128"
2. Dự phòng giảm giá hàng tồn kho,149,,"-23,950,231,896","-17,808,857,271"
V.Tài sản ngắn hạn khác,150,,"149,374,542,945","135,839,161,874"
1. Chi phí trả trước ngắn hạn,151,,"49,080,444,024","25,488,691,285"
2. Thuế GTGT được khấu trừ,152,,"83,560,921,072","97,009,072,862"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"16,733,177,849","13,341,397,727"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"9,603,624,182,712","7,893,568,735,300"
I. Các khoản phải thu dài hạn,210,,"494,373,824,396","134,910,654,507"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,"162,886,222,571","97,009,546,692"
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,"282,204,469,393","3,085,633,364"
6. Phải thu dài hạn khác,216,,"92,330,089,521","77,766,758,024"
7. Dự phòng phải thu dài hạn khó đòi,219,,"-43,046,957,089","-42,951,283,573"
II.Tài sản cố định,220,,"4,230,222,204,476","3,922,472,696,557"
1. Tài sản cố định hữu hình,221,,"3,138,888,145,909","3,495,944,778,665"
- Nguyên giá,222,,"8,139,064,018,321","8,315,932,564,826"
