Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"6,849,286,967,000","5,510,132,522,467","24,831,273,795,630","18,367,176,407,725"
2. Các khoản giảm trừ doanh thu,02,,"48,830,272,724","8,624,547,849","84,531,728,123","48,234,647,789"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"6,800,456,694,276","5,501,507,974,618","24,746,742,067,507","18,318,941,759,936"
4. Giá vốn hàng bán,11,,"5,999,486,028,854","4,969,433,411,094","22,090,590,976,396","16,010,739,992,765"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"800,970,665,422","532,074,563,524","2,656,151,091,111","2,308,201,767,171"
6. Doanh thu hoạt động tài chính,21,,"284,755,127,085","244,190,654,430","1,142,061,163,389","1,085,806,180,978"
7. Chi phí tài chính,22,,"563,004,144,152","251,663,571,823","1,768,222,781,850","955,867,041,992"
- Trong đó: Chi phí lãi vay,23,,"484,055,703,503","249,878,521,163","1,451,483,515,063","813,904,183,932"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,"-14,958,791,375","18,726,927,352","-30,845,179,973","32,796,463,460"
9. Chi phí bán hàng,25,,"162,087,704,947","172,204,757,003","634,718,347,276","656,994,972,781"
10. Chi phí quản lý doanh nghiệp,26,,"205,911,783,903","169,704,686,054","649,573,862,566","644,385,963,131"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"139,763,368,130","201,419,130,426","714,852,082,835","1,169,556,433,705"
12. Thu nhập khác,31,,"39,392,151,171","66,165,803,405","114,089,662,436","106,738,200,796"
13. Chi phí khác,32,,"55,214,644,597","23,450,633,068","120,239,273,537","230,722,234,120"
14. Lợi nhuận khác(40=31-32),40,,"-15,822,493,426","42,715,170,337","-6,149,611,101","-123,984,033,324"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"123,940,874,704","244,134,300,763","708,702,471,734","1,045,572,400,381"
16. Chi phí thuế TNDN hiện hành,51,,"48,529,843,062","19,351,628,807","102,968,734,754","191,012,343,497"
17. Chi phí thuế TNDN hoãn lại,52,,"-1,532,378,081","-1,169,516,388","-4,386,654,357","-18,898,697,001"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"76,943,409,723","225,952,188,344","610,120,391,337","873,458,753,885"
19. Lợi nhuận sau thuế công ty mẹ,61,,"74,675,388,819","212,995,645,636","545,213,859,583","874,644,008,267"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"2,268,020,904","12,956,542,708","64,906,531,754","-1,185,254,382"
21. Lãi cơ bản trên cổ phiếu(*),70,,76,285,654,"1,167"
22. Lãi suy giảm trên cổ phiếu (*),71,,76,285,654,"1,167"
