Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"432,330,681,896","579,955,396,082"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"314,956,937,242","221,832,154,643"
- Các khoản dự phòng,03,,"12,499,068,774","25,981,647,173"
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"-1,719,356,944","-3,711,121,424"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-64,064,267,599","-61,914,197,309"
- Chi phí lãi vay,06,,"561,715,715,803","380,817,476,589"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"1,255,718,779,172","1,142,961,355,754"
"- Tăng, giảm các khoản phải thu",09,,"-1,034,524,873,763","-591,607,131,283"
"- Tăng, giảm hàng tồn kho",10,,"-72,687,089,084","146,739,409,078"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"775,347,472,517","1,216,149,162,834"
"- Tăng, giảm chi phí trả trước",12,,"-5,478,698,592","103,277,701,945"
"- Tăng, giảm chứng khoán kinh doanh",13,,"3,092,882,503","-148,989,456,550"
- Tiền lãi vay đã trả,14,,"-535,512,829,935","-409,900,448,027"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-120,347,738,937","-114,235,524,377"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-51,652,924,592","-26,728,006,416"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"213,954,979,289","1,317,667,062,958"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-214,080,383,111","-178,662,425,846"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,"1,253,240,476","48,097,172,568"
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,"-315,233,503,364","-688,519,514,296"
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,"26,685,500,000","80,000,000,000"
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,"-78,380,716,000","-1,437,887,231,567"
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,"2,836,625,000",0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"23,112,211,762","143,322,847,090"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-553,807,025,237","-2,033,649,152,051"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,"510,029,487,530"
2.Tiền trả lại vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,32,,0,0
3.Tiền thu từ đi vay,33,,"11,138,432,650,439","8,196,671,008,919"
4.Tiền chi trả nợ gốc vay,34,,"-10,766,726,390,424","-7,561,309,736,266"
5.Tiền trả nợ gốc thuê tài chính,35,,"-9,961,258,445","-15,450,802,754"
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-77,809,392,085","-71,687,519,651"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,..37,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"283,935,609,485","1,058,252,437,778"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-55,916,436,463","342,270,348,685"
Tiền và tương đương tiền đầu kỳ,60,,"2,563,428,628,818","1,823,297,113,682"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,"1,625,090,280","8,269,882,728"
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"2,509,137,282,635","2,173,837,345,095"
