Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"13,401,986,657,806","12,260,575,722,623",,
2. Các khoản giảm trừ doanh thu,02,,"16,746,120,411","24,478,580,881",,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"13,385,240,537,395","12,236,097,141,742",,
4. Giá vốn hàng bán,11,,"11,958,218,578,317","11,040,244,713,065",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"1,427,021,959,078","1,195,852,428,677",,
6. Doanh thu hoạt động tài chính,21,,"827,278,596,976","552,450,641,276",,
7. Chi phí tài chính,22,,"1,118,118,105,880","702,736,630,403",,
- Trong đó: Chi phí lãi vay,23,,"887,493,101,394","561,715,715,803",,
"8. Phần Lãi lỗ trong công ty liên doanh, liên kết",24,,"16,600,140,711","-4,696,396,143",,
9. Chi phí bán hàng,25,,"338,698,216,938","317,493,845,866",,
10. Chi phí quản lý doanh nghiệp,26,,"315,398,082,990","279,231,869,472",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"498,686,290,957","444,144,328,069",,
12. Thu nhập khác,31,,"40,014,343,958","45,288,456,344",,
13. Chi phí khác,32,,"57,788,279,654","57,102,102,517",,
14. Lợi nhuận khác(40=31-32),40,,"-17,773,935,696","-11,813,646,173",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"480,912,355,261","432,330,681,896",,
16. Chi phí thuế TNDN hiện hành,51,,"77,729,747,422","50,408,209,030",,
17. Chi phí thuế TNDN hoãn lại,52,,"8,935,826,661","1,633,066,347",,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"394,246,781,178","380,289,406,519",,
19. Lợi nhuận sau thuế của công ty mẹ,61,,"348,856,199,948","321,149,377,928",,
20.Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"45,390,581,230","59,140,028,591",,
21. Lãi cơ bản trên cổ phiếu(*),70,,385,410,,
22. Lãi suy giảm trên cổ phiếu (*),71,,385,410,,
