Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"18,367,176,407,725","14,940,490,283,184",,
2. Các khoản giảm trừ doanh thu,02,,"48,234,647,789","15,622,657,469",,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"18,318,941,759,936","14,924,867,625,715",,
4. Giá vốn hàng bán,11,,"16,010,739,992,765","12,708,943,157,204",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"2,308,201,767,171","2,215,924,468,511",,
6. Doanh thu hoạt động tài chính,21,,"1,085,806,180,978","498,576,913,809",,
7. Chi phí tài chính,22,,"955,867,041,992","853,002,037,811",,
- Trong đó: Chi phí lãi vay,23,,"813,904,183,931","691,890,712,661",,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,"32,796,463,460","22,966,160,615",,
9. Chi phí bán hàng,25,,"656,994,972,781","532,041,650,804",,
10. Chi phí quản lý doanh nghiệp,26,,"644,385,963,131","561,053,555,001",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"1,169,556,433,705","791,370,299,319",,
12. Thu nhập khác,31,,"106,738,200,796","47,695,259,333",,
13. Chi phí khác,32,,"230,722,234,120","55,465,608,618",,
14. Lợi nhuận khác(40=31-32),40,,"-123,984,033,324","-7,770,349,285",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"1,045,572,400,381","783,599,950,034",,
16. Chi phí thuế TNDN hiện hành,51,,"191,012,343,497","151,576,778,257",,
17. Chi phí thuế TNDN hoãn lại,52,,"-18,898,697,001","-18,345,283,288",,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"873,458,753,885","650,368,455,065",,
19. Lợi nhuận sau thuế công ty mẹ,61,,"874,644,008,267","645,041,044,359",,
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"-1,185,254,382","5,327,410,706",,
21. Lãi cơ bản trên cổ phiếu(*),70,,"1,167",891,,
22. Lãi suy giảm trên cổ phiếu (*),71,,"1,167",891,,
