Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"5,323,977,654,436","4,318,953,453,501","5,323,977,654,436","4,318,953,453,501"
2. Các khoản giảm trừ doanh thu,02,,"15,021,553,496","7,014,162,877","15,021,553,496","7,014,162,877"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"5,308,956,100,940","4,311,939,290,624","5,308,956,100,940","4,311,939,290,624"
4. Giá vốn hàng bán,11,,"4,643,120,547,826","3,814,494,247,527","4,643,120,547,826","3,814,494,247,527"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"665,835,553,114","497,445,043,097","665,835,553,114","497,445,043,097"
6. Doanh thu hoạt động tài chính,21,,"259,522,954,917","346,189,209,399","259,522,954,917","346,189,209,399"
7. Chi phí tài chính,22,,"339,527,024,941","302,335,199,484","339,527,024,941","302,335,199,484"
- Trong đó: Chi phí lãi vay,23,,"232,153,592,020","192,434,801,903","232,153,592,020","192,434,801,903"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,"-3,998,769,491","8,236,925,883","-3,998,769,491","8,236,925,883"
9. Chi phí bán hàng,25,,"158,631,073,012","144,544,253,640","158,631,073,012","144,544,253,640"
10. Chi phí quản lý doanh nghiệp,26,,"137,017,171,560","147,834,330,480","137,017,171,560","147,834,330,480"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"286,184,469,027","257,157,394,775","286,184,469,027","257,157,394,775"
12. Thu nhập khác,31,,"24,003,069,416","15,469,225,473","24,003,069,416","15,469,225,473"
13. Chi phí khác,32,,"27,909,495,801","10,144,486,828","27,909,495,801","10,144,486,828"
14. Lợi nhuận khác(40=31-32),40,,"-3,906,426,385","5,324,738,645","-3,906,426,385","5,324,738,645"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"282,278,042,642","262,482,133,420","282,278,042,642","262,482,133,420"
16. Chi phí thuế TNDN hiện hành,51,,"23,608,997,108","67,754,881,112","23,608,997,108","67,754,881,112"
17. Chi phí thuế TNDN hoãn lại,52,,"-3,046,817,619","-131,327,287","-3,046,817,619","-131,327,287"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"261,715,863,153","194,858,579,595","261,715,863,153","194,858,579,595"
19. Lợi nhuận sau thuế công ty mẹ,61,,"225,868,733,478","195,117,749,550","225,868,733,478","195,117,749,550"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"35,847,129,675","-259,169,954","35,847,129,675","-259,169,954"
21. Lãi cơ bản trên cổ phiếu(*),70,,327,265,327,265
22. Lãi suy giảm trên cổ phiếu (*),71,,327,258,327,258
