Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"7,571,560,192,481","6,157,189,124,622",,
2. Các khoản giảm trừ doanh thu,02,,"3,804,662,313","9,951,773,126",,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"7,567,755,530,168","6,147,237,351,496",,
4. Giá vốn hàng bán,11,,"6,566,344,863,891","5,780,706,717,019",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"1,001,410,666,277","366,530,634,477",,
6. Doanh thu hoạt động tài chính,21,,"201,988,969,620","577,501,637,971",,
7. Chi phí tài chính,22,,"425,795,265,224","418,559,230,363",,
- Trong đó: Chi phí lãi vay,23,,"308,246,105,446","316,062,724,166",,
"8. Phần Lãi lỗ trong công ty liên doanh, liên kết",24,,"12,918,980,850","-6,213,192,882",,
9. Chi phí bán hàng,25,,"280,917,340,292","193,105,562,685",,
10. Chi phí quản lý doanh nghiệp,26,,"176,099,456,266","215,585,766,617",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"333,506,554,965","110,568,519,901",,
12. Thu nhập khác,31,,"19,095,436,059","20,078,606,082",,
13. Chi phí khác,32,,"19,747,282,088","13,004,824,011",,
14. Lợi nhuận khác(40=31-32),40,,"-651,846,029","7,073,782,071",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"332,854,708,936","117,642,301,972",,
16. Chi phí thuế TNDN hiện hành,51,,"45,603,433,560","64,341,877,711",,
17. Chi phí thuế TNDN hoãn lại,52,,"306,763,749","1,786,554,550",,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"286,944,511,627","51,513,869,711",,
19. Lợi nhuận sau thuế của công ty mẹ,61,,"280,071,803,894","57,675,130,645",,
20.Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"6,872,707,733","-6,161,260,934",,
21. Lãi cơ bản trên cổ phiếu(*),70,,416,36,,
22. Lãi suy giảm trên cổ phiếu (*),71,,404,35,,
