Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"9,322,634,498,146","7,571,560,192,481",,
2. Các khoản giảm trừ doanh thu,02,,"21,131,699,691","3,804,662,313",,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"9,301,502,798,455","7,567,755,530,168",,
4. Giá vốn hàng bán,11,,"8,136,877,501,960","6,566,344,863,891",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"1,164,625,296,495","1,001,410,666,277",,
6. Doanh thu hoạt động tài chính,21,,"673,277,566,291","201,988,969,620",,
7. Chi phí tài chính,22,,"467,619,537,191","425,795,265,224",,
- Trong đó: Chi phí lãi vay,23,,"380,817,476,589","308,246,105,446",,
"8. Phần Lãi lỗ trong công ty liên doanh, liên kết",24,,"8,098,471,757","12,918,980,850",,
9. Chi phí bán hàng,25,,"330,968,663,033","280,917,340,292",,
10. Chi phí quản lý doanh nghiệp,26,,"318,758,735,394","176,099,456,266",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"728,654,398,925","333,506,554,965",,
12. Thu nhập khác,31,,"31,436,682,461","19,095,436,059",,
13. Chi phí khác,32,,"180,135,685,304","19,747,282,088",,
14. Lợi nhuận khác(40=31-32),40,,"-148,699,002,843","-651,846,029",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"579,955,396,082","332,854,708,936",,
16. Chi phí thuế TNDN hiện hành,51,,"144,649,572,626","45,603,433,560",,
17. Chi phí thuế TNDN hoãn lại,52,,"-5,443,953,327","306,763,749",,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"440,749,776,783","286,944,511,627",,
19. Lợi nhuận sau thuế của công ty mẹ,61,,"456,460,466,303","280,071,803,894",,
20.Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"-15,710,689,520","6,872,707,733",,
21. Lãi cơ bản trên cổ phiếu(*),70,,610,388,,
22. Lãi suy giảm trên cổ phiếu (*),71,,594,378,,
