Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"504,283,975,092","421,783,945,893"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"419,926,941,060","492,028,403,104"
- Các khoản dự phòng,03,,"14,265,736,887","-53,017,800,801"
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"-16,891,002","-5,972,608,468"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-711,875,576,163","-1,096,605,388,453"
- Chi phí lãi vay,06,,"623,396,323,486","705,491,023,191"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"849,980,509,360","463,707,574,466"
"- Tăng, giảm các khoản phải thu",09,,"170,042,837,080","852,574,883,928"
"- Tăng, giảm hàng tồn kho",10,,"273,503,341,486","1,205,812,973,889"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"-175,260,188,414","-411,478,118,795"
"- Tăng, giảm chi phí trả trước",12,,"93,146,978,964","153,976,270,202"
"- Tăng, giảm chứng khoán kinh doanh",13,,"-255,146,335,308","75,434,980,880"
- Tiền lãi vay đã trả,14,,"-674,449,185,315","-714,368,155,580"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-83,092,651,999","-117,747,598,634"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-57,427,771,027","-72,445,157,401"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"141,297,534,827","1,435,467,652,955"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-604,037,412,517","-1,303,763,127,960"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,"107,734,417,251","98,379,571,024"
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,"-10,050,000,000","-686,735,166,667"
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,"28,901,351,795","534,742,753,646"
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,"-1,530,639,417,096","-8,662,795,800"
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,"1,132,543,899,000","1,756,807,803,729"
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"87,801,876,027","168,522,351,212"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-787,745,285,540","559,291,389,184"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,"1,785,905,320,066",
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"13,910,197,234,888","13,658,599,528,090"
4.Tiền chi trả nợ gốc vay,34,,"-14,767,976,788,371","-14,752,764,526,999"
5.Tiền chi trả nợ gốc thuê tài chính,35,,"-62,502,258,282","-28,092,150,657"
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-214,041,363,745","-192,683,748,041"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"651,582,144,556","-1,314,940,897,607"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"5,134,393,843","679,818,144,532"
Tiền và tương đương tiền đầu kỳ,60,,"1,004,775,238,727","324,968,354,928"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,"5,197,812","-11,260,733"
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"1,009,914,830,382","1,004,775,238,727"
