Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"2,525,806,562,997","1,565,534,948,555","2,525,806,562,997","1,565,534,948,555"
2. Các khoản giảm trừ doanh thu,02,,"2,468,369,312","3,510,253,313","2,468,369,312","3,510,253,313"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"2,523,338,193,685","1,562,024,695,242","2,523,338,193,685","1,562,024,695,242"
4. Giá vốn hàng bán,11,,"2,382,313,255,364","1,361,469,022,336","2,382,313,255,364","1,361,469,022,336"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"141,024,938,321","200,555,672,906","141,024,938,321","200,555,672,906"
6. Doanh thu hoạt động tài chính,21,,"219,713,500,453","125,214,602,068","219,713,500,453","125,214,602,068"
7. Chi phí tài chính,22,,"166,808,452,479","129,907,186,687","166,808,452,479","129,907,186,687"
- Trong đó: Chi phí lãi vay,23,,"159,400,692,519","114,869,902,044","159,400,692,519","114,869,902,044"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,"1,350,537,518","4,239,751,805","1,350,537,518","4,239,751,805"
9. Chi phí bán hàng,25,,"74,358,007,998","29,936,279,359","74,358,007,998","29,936,279,359"
10. Chi phí quản lý doanh nghiệp,26,,"75,939,281,285","57,063,005,639","75,939,281,285","57,063,005,639"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"44,983,234,530","113,103,555,094","44,983,234,530","113,103,555,094"
12. Thu nhập khác,31,,"66,741,202,405","6,541,757,961","66,741,202,405","6,541,757,961"
13. Chi phí khác,32,,"69,490,390,716","4,070,069,817","69,490,390,716","4,070,069,817"
14. Lợi nhuận khác(40=31-32),40,,"-2,749,188,311","2,471,688,144","-2,749,188,311","2,471,688,144"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"42,234,046,219","115,575,243,238","42,234,046,219","115,575,243,238"
16. Chi phí thuế TNDN hiện hành,51,,"6,932,501,644","24,478,745,023","6,932,501,644","24,478,745,023"
17. Chi phí thuế TNDN hoãn lại,52,,"-1,399,618,644","2,711,316,345","-1,399,618,644","2,711,316,345"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"36,701,163,219","88,385,181,870","36,701,163,219","88,385,181,870"
19. Lợi nhuận sau thuế công ty mẹ,61,,"37,902,949,417","87,152,873,670","37,902,949,417","87,152,873,670"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"-1,201,786,198","1,232,308,200","-1,201,786,198","1,232,308,200"
21. Lãi cơ bản trên cổ phiếu(*),70,,77,395,77,395
22. Lãi suy giảm trên cổ phiếu (*),71,,77,395,77,395
