Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"9,463,527,664,700","9,813,282,063,081"
I. Tiền và các khoản tương đương tiền,110,,"745,200,553,580","324,968,354,928"
1. Tiền,111,,"646,072,651,774","270,968,354,928"
2. Các khoản tương đương tiền,112,,"99,127,901,806","54,000,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"861,269,124,464","614,337,054,432"
1. Chứng khoán kinh doanh,121,,"44,232,580,057","147,759,126,842"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,"-5,483,122,260","-8,622,072,410"
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"822,519,666,667","475,200,000,000"
III. Các khoản phải thu ngắn hạn,130,,"4,747,170,305,427","4,714,794,529,834"
1. Phải thu ngắn hạn của khách hàng,131,,"2,153,715,493,243","1,585,814,700,457"
2. Trả trước cho người bán ngắn hạn,132,,"2,345,819,312,413","2,327,714,818,742"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"24,858,500,000","215,317,000,000"
6. Phải thu ngắn hạn khác,136,,"291,375,480,310","661,365,229,237"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-68,598,480,539","-75,417,218,602"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"2,700,230,133,361","3,971,722,969,990"
1. Hàng tồn kho,141,,"2,723,737,395,622","4,009,377,285,392"
2. Dự phòng giảm giá hàng tồn kho,149,,"-23,507,262,261","-37,654,315,402"
V.Tài sản ngắn hạn khác,150,,"409,657,547,868","187,459,153,897"
1. Chi phí trả trước ngắn hạn,151,,"362,965,984,968","126,639,033,019"
2. Thuế GTGT được khấu trừ,152,,"26,991,071,945","45,214,465,625"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"19,700,490,955","15,605,655,253"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"7,257,876,064,424","7,880,275,890,655"
I. Các khoản phải thu dài hạn,210,,"492,523,303,656","542,698,458,694"
1. Phải thu dài hạn của khách hàng,211,,0,
2. Trả trước cho người bán dài hạn,212,,"142,237,415,815","129,111,796,826"
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,
4. Phải thu nội bộ dài hạn,214,,0,
5. Phải thu về cho vay dài hạn,215,,0,
6. Phải thu dài hạn khác,216,,"350,285,887,841","413,586,661,868"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,
II.Tài sản cố định,220,,"4,497,130,412,671","4,698,440,525,940"
1. Tài sản cố định hữu hình,221,,"4,316,617,098,177","4,506,630,843,371"
- Nguyên giá,222,,"8,579,753,319,969","8,483,696,268,432"
- Giá trị hao mòn lũy kế,223,,"-4,263,136,221,792","-3,977,065,425,061"
2. Tài sản cố định thuê tài chính,224,,"108,987,996,208","119,133,104,380"
- Nguyên giá,225,,"144,457,419,292","151,725,361,276"
- Giá trị hao mòn lũy kế,226,,"-35,469,423,084","-32,592,256,896"
3. Tài sản cố định vô hình,227,,"71,525,318,286","72,676,578,189"
- Nguyên giá,228,,"108,589,653,903","106,932,919,031"
- Giá trị hao mòn lũy kế,229,,"-37,064,335,617","-34,256,340,842"
III. Bất động sản đầu tư,230,,"176,741,883,845","181,161,531,163"
- Nguyên giá,231,,"205,807,780,825","205,807,780,825"
- Giá trị hao mòn lũy kế,232,,"-29,065,896,980","-24,646,249,662"
IV. Tài sản dở dang dài hạn,240,,"197,844,515,862","134,062,023,484"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,
2. Chi phí xây dựng cơ bản dở dang,242,,"197,844,515,862","134,062,023,484"
V. Đầu tư tài chính dài hạn,250,,"297,623,673,559","637,130,825,071"
1. Đầu tư vào công ty con,251,,0,
"2. Đầu tư vào công ty liên kết, liên doanh",252,,"192,702,006,770","192,557,122,221"
3. Đầu tư góp vốn vào đơn vị khác,253,,"105,662,883,123","445,314,919,184"
4. Dự phòng đầu tư tài chính dài hạn,254,,"-741,216,334","-741,216,334"
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,
VI. Tài sản dài hạn khác,260,,"1,596,012,274,831","1,686,782,526,303"
1. Chi phí trả trước dài hạn,261,,"1,420,475,842,440","1,500,510,998,039"
2. Tài sản thuế thu nhập hoãn lại,262,,"15,066,829,445","15,853,707,016"
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,
4. Tài sản dài hạn khác,268,,0,
5. Lợi thế thương mại,269,,"160,469,602,946","170,417,821,248"
TỔNG CỘNG TÀI SẢN,270,,"16,721,403,729,124","17,693,557,953,736"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"10,636,710,595,145","11,596,198,019,420"
I. Nợ ngắn hạn,310,,"8,060,468,949,921","8,901,838,775,165"
1. Phải trả người bán ngắn hạn,311,,"478,337,325,191","357,620,227,232"
2. Người mua trả tiền trước ngắn hạn,312,,"186,549,332,465","189,075,241,605"
3. Thuế và các khoản phải nộp nhà nước,313,,"74,797,324,542","159,302,208,063"
4. Phải trả người lao động,314,,"9,176,717,657","26,482,285,100"
5. Chi phí phải trả ngắn hạn,315,,"328,891,058,128","299,200,761,237"
6. Phải trả nội bộ ngắn hạn,316,,0,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,
8. Doanh thu chưa thực hiện ngắn hạn,318,,"10,492,124,232","6,717,903,350"
9. Phải trả ngắn hạn khác,319,,"133,264,765,039","80,757,931,129"
10. Vay và nợ thuê tài chính ngắn hạn,320,,"6,689,458,199,129","7,702,821,832,132"
11. Dự phòng phải trả ngắn hạn,321,,"18,294,576,613","3,862,913,000"
12. Quỹ khen thưởng phúc lợi,322,,"131,207,526,925","75,997,472,317"
13. Quỹ bình ổn giá,323,,0,
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,
II. Nợ dài hạn,330,,"2,576,241,645,224","2,694,359,244,255"
1. Phải trả người bán dài hạn,331,,0,
2. Người mua trả tiền trước dài hạn,332,,0,
3. Chi phí phải trả dài hạn,333,,0,
4. Phải trả nội bộ về vốn kinh doanh,334,,0,
5. Phải trả nội bộ dài hạn,335,,0,
6. Doanh thu chưa thực hiện dài hạn,336,,"16,854,116,931","12,946,654,043"
7. Phải trả dài hạn khác,337,,"6,737,856,280","6,679,256,280"
8. Vay và nợ thuê tài chính dài hạn,338,,"2,459,227,940,461","2,581,867,693,752"
9. Trái phiếu chuyển đổi,339,,0,
10. Cổ phiếu ưu đãi,340,,0,
11. Thuế thu nhập hoãn lại phải trả,341,,"91,421,731,552","90,300,433,513"
12. Dự phòng phải trả dài hạn,342,,0,"565,206,667"
13. Quỹ phát triển khoa học và công nghệ,343,,"2,000,000,000","2,000,000,000"
D.VỐN CHỦ SỞ HỮU,400,,"6,084,693,133,979","6,097,359,934,316"
I. Vốn chủ sở hữu,410,,"6,084,286,433,464","6,097,359,934,316"
1. Vốn góp của chủ sở hữu,411,,"5,570,186,730,000","5,570,186,730,000"
- Cổ phiếu phổ thông có quyền biểu quyết,411a,,"5,570,186,730,000","5,570,186,730,000"
- Cổ phiếu ưu đãi,411b,,0,
2. Thặng dư vốn cổ phần,412,,"6,243,045,915,565","6,243,045,915,565"
3. Quyền chọn chuyển đổi trái phiếu,413,,0,0
4. Vốn khác của chủ sở hữu,414,,"-5,534,410,411,336","-5,534,410,411,336"
5. Cổ phiếu quỹ,415,,"-1,099,985,561,092","-1,099,985,561,092"
6. Chênh lệch đánh giá lại tài sản,416,,0,
7. Chênh lệch tỷ giá hối đoái,417,,"-7,346,546,623","-60,609,170,380"
8. Quỹ đầu tư phát triển,418,,"124,701,077,142","69,863,681,464"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,0,
10. Quỹ khác thuộc vốn chủ sở hữu,420,,0,
11. Lợi nhuận sau thuế chưa phân phối,421,,"746,191,556,664","856,496,451,241"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,"731,739,593,699","308,122,494,453"
- LNST chưa phân phối kỳ này,421b,,"14,451,962,965","548,373,956,788"
12. Nguồn vốn đầu tư XDCB,422,,0,
13. Lợi ích cổ đông không kiểm soát,429,,"41,903,673,144","52,772,298,854"
II. Nguồn kinh phí và quỹ khác,430,,"406,700,515",
1. Nguồn kinh phí,431,,"406,700,515",
2. Nguồn kinh phí đã hình thành TSCĐ,432,,0,
TỔNG CỘNG NGUỒN VỐN,440,,"16,721,403,729,124","17,693,557,953,736"
