Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"552,324,778,126","448,433,278,740"
I. Tiền và các khoản tương đương tiền,110,,"2,209,319,327","8,759,903,223"
1. Tiền,111,,"2,159,319,327","8,709,903,223"
2. Các khoản tương đương tiền,112,,"50,000,000","50,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"375,000","375,000"
1. Chứng khoán kinh doanh,121,,"573,500","573,500"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,"-198,500","-198,500"
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,0,0
III. Các khoản phải thu ngắn hạn,130,,"401,184,578,287","317,696,438,553"
1. Phải thu ngắn hạn của khách hàng,131,,"334,193,604,059","292,891,214,985"
2. Trả trước cho người bán ngắn hạn,132,,"10,686,004,711","8,871,084,199"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"44,652,334","52,974,334"
6. Phải thu ngắn hạn khác,136,,"63,188,384,432","26,348,516,097"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-8,227,253,603","-11,766,537,417"
8. Tài sản Thiếu chờ xử lý,139,,"1,299,186,354","1,299,186,355"
IV. Hàng tồn kho,140,,"72,633,455,464","45,896,902,163"
1. Hàng tồn kho,141,,"76,789,542,933","50,095,653,397"
2. Dự phòng giảm giá hàng tồn kho,149,,"-4,156,087,469","-4,198,751,234"
V.Tài sản ngắn hạn khác,150,,"76,297,050,048","76,079,659,801"
1. Chi phí trả trước ngắn hạn,151,,"2,298,712,320","2,409,258,572"
2. Thuế GTGT được khấu trừ,152,,"73,998,337,728","73,670,401,229"
3. Thuế và các khoản khác phải thu Nhà nước,153,,0,0
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"384,442,349,191","375,379,608,447"
I. Các khoản phải thu dài hạn,210,,"9,914,722,370","9,276,452,363"
1. Phải thu dài hạn của khách hàng,211,,0,0
