Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"404,439,072,669","461,716,959,399",,
2. Các khoản giảm trừ doanh thu,02,,,"2,228,411,434",,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"404,439,072,669","459,488,547,965",,
4. Giá vốn hàng bán,11,,"332,056,580,654","359,846,457,911",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"72,382,492,015","99,642,090,054",,
6. Doanh thu hoạt động tài chính,21,,"3,252,888,466","25,768,353,319",,
7. Chi phí tài chính,22,,"8,477,003,805","10,184,067,246",,
- Trong đó: Chi phí lãi vay,23,,"8,462,139,020","10,015,379,367",,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,,
9. Chi phí bán hàng,25,,"12,752,482,322","12,572,026,434",,
10. Chi phí quản lý doanh nghiệp,26,,"34,047,214,578","38,917,150,732",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"20,358,679,776","63,737,198,961",,
12. Thu nhập khác,31,,"36,990,936","17,663,275,524",,
13. Chi phí khác,32,,0,"1,566,954",,
14. Lợi nhuận khác(40=31-32),40,,"36,990,936","17,661,708,570",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"20,395,670,712","81,398,907,531",,
16. Chi phí thuế TNDN hiện hành,51,,"2,538,862,441","10,018,199,506",,
17. Chi phí thuế TNDN hoãn lại,52,,"767,420,543","-181,443,181",,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"17,089,387,728","71,562,151,206",,
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,,
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,,
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,,
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,,
