Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"125,278,917,692","110,745,685,552","320,605,107,070","345,218,580,847"
2. Các khoản giảm trừ doanh thu,02,,"3,981,079,759","1,122,367,289","6,917,667,228","11,051,396,665"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"121,297,837,933","109,623,318,263","313,687,439,842","334,167,184,182"
4. Giá vốn hàng bán,11,,"82,863,696,152","70,111,417,009","227,572,411,572","217,526,040,107"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"38,434,141,781","39,511,901,254","86,115,028,270","116,641,144,075"
6. Doanh thu hoạt động tài chính,21,,"1,366,291,774","815,700,835","2,263,179,008","1,546,436,254"
7. Chi phí tài chính,22,,"4,219,166,045","4,864,696,594","13,719,092,904","14,549,824,706"
- Trong đó: Chi phí lãi vay,23,,"3,960,836,257","4,654,144,293","13,048,423,206","13,866,415,129"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"15,614,360,250","18,593,947,938","49,543,055,232","60,970,036,908"
10. Chi phí quản lý doanh nghiệp,26,,"13,266,202,827","12,362,384,961","35,633,602,001","38,126,786,404"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"6,700,704,433","4,506,572,596","-10,517,542,859","4,540,932,311"
12. Thu nhập khác,31,,"16,210,246","9,313,030","578,499,594","29,705,458"
13. Chi phí khác,32,,"5,946","10,738","66,371,871","17,026"
14. Lợi nhuận khác(40=31-32),40,,"16,204,300","9,302,292","512,127,723","29,688,432"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"6,716,908,733","4,515,874,888","-10,005,415,136","4,570,620,743"
16. Chi phí thuế TNDN hiện hành,51,,"2,594,501,309","359,418,461","3,293,145,804","3,750,733,228"
17. Chi phí thuế TNDN hoãn lại,52,,"-1,764,729,041","-145,096,957","-641,359,157","-1,224,695,989"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"5,887,136,465","4,301,553,384","-12,657,201,783","2,044,583,504"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,0,0
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
