Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"107,293,366,348","98,427,783,460","189,862,674,253","184,335,437,292"
2. Các khoản giảm trừ doanh thu,02,,0,"746,926,140",0,"749,829,764"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"107,293,366,348","97,680,857,320","189,862,674,253","183,585,607,528"
4. Giá vốn hàng bán,11,,"69,930,734,797","71,303,732,363","127,646,946,729","131,315,366,658"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"37,362,631,551","26,377,124,957","62,215,727,524","52,270,240,870"
6. Doanh thu hoạt động tài chính,21,,"-74,093,218","460,251,957","498,218,494","1,541,881,078"
7. Chi phí tài chính,22,,"2,276,590,346","2,242,644,968","4,735,386,548","4,127,268,365"
- Trong đó: Chi phí lãi vay,23,,"2,377,717,607","2,179,102,432","4,565,831,991","4,096,002,117"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"18,560,703,999","12,047,349,116","26,293,546,954","18,986,247,787"
10. Chi phí quản lý doanh nghiệp,26,,"10,063,483,480","11,587,268,119","20,676,517,557","26,243,852,679"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"6,387,760,508","960,114,711","11,008,494,959","4,454,753,117"
12. Thu nhập khác,31,,"54,385,209","-31,747,768,935","496,750,198","112,298,320"
13. Chi phí khác,32,,"91,427","-24,354,498,024","91,427","2,928,618"
14. Lợi nhuận khác(40=31-32),40,,"54,293,782","-7,393,270,911","496,658,771","109,369,702"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"6,442,054,290","-6,433,156,200","11,505,153,730","4,564,122,819"
16. Chi phí thuế TNDN hiện hành,51,,"1,635,506,366","-508,004,714","3,669,545,996","1,289,761,518"
17. Chi phí thuế TNDN hoãn lại,52,,"165,785,918","-913,639,870","-882,340,077","-277,990,020"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"4,640,762,006","-5,011,511,616","8,717,947,811","3,552,351,321"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,0,0
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
