Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"392,289,988,996","428,713,841,283"
I. Tiền và các khoản tương đương tiền,110,,"27,462,534,555","57,231,401,561"
1. Tiền,111,,"27,462,534,555","57,231,401,561"
2. Các khoản tương đương tiền,112,,0,0
II. Các khoản đầu tư tài chính ngắn hạn,120,,"375,000","6,012,123,230"
1. Chứng khoán kinh doanh,121,,"573,500","7,317,039,691"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,"-198,500","-1,304,916,461"
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,0,0
III. Các khoản phải thu ngắn hạn,130,,"158,448,275,404","187,782,413,027"
1. Phải thu ngắn hạn của khách hàng,131,,"114,363,357,493","157,164,470,955"
2. Trả trước cho người bán ngắn hạn,132,,"39,497,547,623","29,801,165,393"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"154,931,334","205,372,334"
6. Phải thu ngắn hạn khác,136,,"11,791,729,811","7,730,611,412"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-7,761,842,633","-7,521,758,843"
8. Tài sản Thiếu chờ xử lý,139,,"402,551,776","402,551,776"
IV. Hàng tồn kho,140,,"138,716,538,882","115,566,958,476"
1. Hàng tồn kho,141,,"145,171,940,986","125,406,169,141"
2. Dự phòng giảm giá hàng tồn kho,149,,"-6,455,402,104","-9,839,210,665"
V.Tài sản ngắn hạn khác,150,,"67,662,265,155","62,120,944,989"
1. Chi phí trả trước ngắn hạn,151,,"3,723,632,076","7,270,523,821"
2. Thuế GTGT được khấu trừ,152,,"63,912,598,800","54,849,239,175"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"26,034,279","1,181,993"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"277,132,808,740","263,780,100,907"
I. Các khoản phải thu dài hạn,210,,"3,951,167,238","1,313,165,042"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"3,951,167,238","1,313,165,042"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"167,260,062,353","146,558,836,401"
1. Tài sản cố định hữu hình,221,,"132,240,900,639","130,097,418,266"
- Nguyên giá,222,,"308,869,394,287","326,177,371,173"
- Giá trị hao mòn lũy kế,223,,"-176,628,493,648","-196,079,952,907"
2. Tài sản cố định thuê tài chính,224,,"34,291,348,193","15,482,968,205"
- Nguyên giá,225,,"37,698,614,493","24,159,018,448"
- Giá trị hao mòn lũy kế,226,,"-3,407,266,300","-8,676,050,243"
3. Tài sản cố định vô hình,227,,"727,813,521","978,449,930"
- Nguyên giá,228,,"4,697,856,459","4,994,180,266"
- Giá trị hao mòn lũy kế,229,,"-3,970,042,938","-4,015,730,336"
III. Bất động sản đầu tư,230,,0,0
- Nguyên giá,231,,0,0
- Giá trị hao mòn lũy kế,232,,0,0
IV. Tài sản dở dang dài hạn,240,,"33,000,106,133","41,701,063,605"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"33,000,106,133","41,701,063,605"
V. Đầu tư tài chính dài hạn,250,,0,0
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,0,0
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,0
VI. Tài sản dài hạn khác,260,,"72,921,473,016","74,207,035,859"
1. Chi phí trả trước dài hạn,261,,"67,310,122,339","69,069,844,086"
2. Tài sản thuế thu nhập hoãn lại,262,,"5,611,350,677","5,137,191,773"
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,0,0
TỔNG CỘNG TÀI SẢN,270,,"669,422,797,736","692,493,942,190"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"231,790,818,827","225,333,955,418"
I. Nợ ngắn hạn,310,,"211,675,452,488","222,372,327,853"
1. Phải trả người bán ngắn hạn,311,,"23,711,748,190","43,340,317,478"
2. Người mua trả tiền trước ngắn hạn,312,,"712,149,951","6,581,828,895"
3. Thuế và các khoản phải nộp nhà nước,313,,"812,020,245","5,428,928,654"
4. Phải trả người lao động,314,,"4,723,925,196","4,261,629,664"
5. Chi phí phải trả ngắn hạn,315,,"11,686,192,993","11,448,280,330"
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,"5,891,398,956","8,176,977,735"
9. Phải trả ngắn hạn khác,319,,"31,508,049,274","19,435,661,752"
10. Vay và nợ thuê tài chính ngắn hạn,320,,"124,361,620,469","115,430,356,131"
11. Dự phòng phải trả ngắn hạn,321,,0,0
12. Quỹ khen thưởng phúc lợi,322,,"8,268,347,214","8,268,347,214"
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"20,115,366,339","2,961,627,565"
