Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"85,905,421,916","100,267,339,873","85,905,421,916","100,267,339,873"
2. Các khoản giảm trừ doanh thu,02,,"2,903,624",,"2,903,624",0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"85,902,518,292","100,267,339,873","85,902,518,292","100,267,339,873"
4. Giá vốn hàng bán,11,,"60,046,136,719","65,520,265,616","60,046,136,719","65,520,265,616"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"25,856,381,573","34,747,074,257","25,856,381,573","34,747,074,257"
6. Doanh thu hoạt động tài chính,21,,"1,081,629,648","736,472,226","1,081,629,648","736,472,226"
7. Chi phí tài chính,22,,"1,884,623,397","1,153,352,147","1,884,623,397","1,153,352,147"
- Trong đó: Chi phí lãi vay,23,,"1,916,899,685","886,206,440","1,916,899,685","886,206,440"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,,,0,0
9. Chi phí bán hàng,25,,"6,938,898,671","5,447,189,796","6,938,898,671","5,447,189,796"
10. Chi phí quản lý doanh nghiệp,26,,"14,656,584,560","12,544,446,261","14,656,584,560","12,544,446,261"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"3,457,904,593","16,338,558,279","3,457,904,593","16,338,558,279"
12. Thu nhập khác,31,,"31,860,067,255","27,736,845","31,860,067,255","27,736,845"
13. Chi phí khác,32,,"24,357,426,642",456,"24,357,426,642",456
14. Lợi nhuận khác(40=31-32),40,,"7,502,640,613","27,736,389","7,502,640,613","27,736,389"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"10,960,545,206","16,366,294,668","10,960,545,206","16,366,294,668"
16. Chi phí thuế TNDN hiện hành,51,,"1,797,766,232","3,213,610,978","1,797,766,232","3,213,610,978"
17. Chi phí thuế TNDN hoãn lại,52,,"624,145,344","-183,807,065","624,145,344","-183,807,065"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"8,538,633,630","13,336,490,755","8,538,633,630","13,336,490,755"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,0,0
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
