Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"102,460,800,916","77,108,272,585","102,460,800,916","77,108,272,585"
2. Các khoản giảm trừ doanh thu,02,,"1,354,183,621",0,"1,354,183,621",0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"101,106,617,295","77,108,272,585","101,106,617,295","77,108,272,585"
4. Giá vốn hàng bán,11,,"80,629,668,473","59,978,670,320","80,629,668,473","59,978,670,320"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"20,476,948,822","17,129,602,265","20,476,948,822","17,129,602,265"
6. Doanh thu hoạt động tài chính,21,,"-17,005,682","202,953,119","-17,005,682","202,953,119"
7. Chi phí tài chính,22,,"2,700,273,001","2,337,656,201","2,700,273,001","2,337,656,201"
- Trong đó: Chi phí lãi vay,23,,"2,702,502,241","2,188,114,384","2,702,502,241","2,188,114,384"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"2,055,051,113","4,022,897,427","2,055,051,113","4,022,897,427"
10. Chi phí quản lý doanh nghiệp,26,,"9,591,075,636","8,640,843,635","9,591,075,636","8,640,843,635"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"6,113,543,390","2,331,158,121","6,113,543,390","2,331,158,121"
12. Thu nhập khác,31,,"7,795,300","442,364,989","7,795,300","442,364,989"
13. Chi phí khác,32,,40,0,40,0
14. Lợi nhuận khác(40=31-32),40,,"7,795,260","442,364,989","7,795,260","442,364,989"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"6,121,338,650","2,773,523,110","6,121,338,650","2,773,523,110"
16. Chi phí thuế TNDN hiện hành,51,,"1,003,655,252","554,704,622","1,003,655,252","554,704,622"
17. Chi phí thuế TNDN hoãn lại,52,,"-317,865,064","68,318,573","-317,865,064","68,318,573"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"5,435,548,462","2,150,499,915","5,435,548,462","2,150,499,915"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,0,0
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
