Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"220,998,175,532","213,923,018,352",,
2. Các khoản giảm trừ doanh thu,02,,0,0,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"220,998,175,532","213,923,018,352",,
4. Giá vốn hàng bán,11,,"134,958,702,100","130,138,135,076",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"86,039,473,432","83,784,883,276",,
6. Doanh thu hoạt động tài chính,21,,"1,605,831,378","1,925,603,742",,
7. Chi phí tài chính,22,,"3,078,315,268","4,031,396,145",,
- Trong đó: Chi phí lãi vay,23,,"1,785,035,789","4,080,050,957",,
"8. Phần Lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,,
9. Chi phí bán hàng,25,,"19,023,240,368","14,896,194,352",,
10. Chi phí quản lý doanh nghiệp,26,,"27,902,053,333","21,623,928,120",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"37,641,695,841","45,158,968,401",,
12. Thu nhập khác,31,,"217,336,407","349,199,371",,
13. Chi phí khác,32,,424,"15,514,366",,
14. Lợi nhuận khác(40=31-32),40,,"217,335,983","333,685,005",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"37,859,031,824","45,492,653,406",,
16. Chi phí thuế TNDN hiện hành,51,,"5,578,233,066","5,738,434,556",,
17. Chi phí thuế TNDN hoãn lại,52,,"906,586,372","-37,134,285",,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"31,374,212,386","39,791,353,135",,
19. Lợi nhuận sau thuế của công ty mẹ,61,,0,0,,
20.Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,,
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,,
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,,
