Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"120,623,207,169","113,608,676,836","220,890,547,042","192,462,456,786"
2. Các khoản giảm trừ doanh thu,02,,,"-21,460,561,566",,"-21,460,561,566"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"120,623,207,169","135,069,238,402","220,890,547,042","213,923,018,352"
4. Giá vốn hàng bán,11,,"70,838,317,773","79,077,160,543","136,358,583,389","130,138,135,076"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"49,784,889,396","55,992,077,859","84,531,963,653","83,784,883,276"
6. Doanh thu hoạt động tài chính,21,,"883,000,498","1,097,203,387","1,619,472,724","1,940,969,155"
7. Chi phí tài chính,22,,"1,938,442,950","1,564,485,250","3,091,795,097","4,046,761,558"
- Trong đó: Chi phí lãi vay,23,,"898,829,349","1,476,996,990","1,785,035,789","4,080,050,957"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"13,157,059,714","11,552,740,522","18,604,249,510","14,896,194,352"
10. Chi phí quản lý doanh nghiệp,26,,"15,352,057,722","11,936,278,210","27,896,503,983","21,623,928,120"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"20,220,329,508","32,035,777,264","36,558,887,787","45,158,968,401"
12. Thu nhập khác,31,,"189,599,562","3,852,406","217,336,407","7,900,728"
13. Chi phí khác,32,,-31,"-326,189,710",425,"-325,784,277"
14. Lợi nhuận khác(40=31-32),40,,"189,599,593","330,042,116","217,335,982","333,685,005"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"20,409,929,101","32,365,819,380","36,776,223,769","45,492,653,406"
16. Chi phí thuế TNDN hiện hành,51,,"2,347,251,507","4,061,759,524","5,560,862,484","5,738,434,556"
17. Chi phí thuế TNDN hoãn lại,52,,"1,063,434,645","233,617,682","879,627,579","-37,134,285"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"16,999,242,949","28,070,442,174","30,335,733,706","39,791,353,135"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,0,0
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
