Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"1,173,569,823","10,960,545,206"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"5,502,185,634","5,076,762,281"
- Các khoản dự phòng,03,,"-744,854,378","-666,176,769"
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"-351,439,220","-76,390,877"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-11,060,328","-116,341,158"
- Chi phí lãi vay,06,,"2,188,114,384","1,916,899,685"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"7,756,515,915","17,095,298,368"
"- Tăng, giảm các khoản phải thu",09,,"-49,233,525,113","16,342,427,121"
"- Tăng, giảm hàng tồn kho",10,,"-20,702,928,099","-37,164,756,306"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"33,706,597,320","-35,920,278,839"
"- Tăng, giảm chi phí trả trước",12,,"813,739,443","27,967,276,043"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,"7,316,466,191"
- Tiền lãi vay đã trả,14,,"-757,759,192","-1,916,899,685"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-3,166,067,220","-4,534,517,851"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,"23,592,370,815"
- Tiền chi khác cho hoạt động kinh doanh,17,,"-644,251,332","-30,919,586,323"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"-32,227,678,278","-18,142,200,466"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-9,102,424,664","-818,174,253"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,"124,545,454"
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,"16,665,000",0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"4,510,722,710","113,116,161"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-4,575,036,954","-580,512,638"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"55,833,991,490","68,140,273,667"
4.Tiền chi trả nợ gốc vay,34,,"-28,272,820,234","-46,519,773,208"
5.Tiền chi trả nợ gốc thuê tài chính,35,,"-2,042,800,031","-946,397,206"
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,0,"-16,377,875,000"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"25,518,371,225","4,296,228,253"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-11,284,344,007","-14,426,484,851"
Tiền và tương đương tiền đầu kỳ,60,,"28,992,910,276","57,231,401,561"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,"202,936,209","25,564,897"
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"17,911,502,478","42,830,481,607"
