Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"476,067,823,835","537,631,231,633"
I. Tiền và các khoản tương đương tiền,110,,"13,664,858,756","19,693,504,601"
1. Tiền,111,,"13,608,875,614","19,638,964,313"
2. Các khoản tương đương tiền,112,,"55,983,142","54,540,288"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"1,010,375,000","375,000"
1. Chứng khoán kinh doanh,121,,"573,500","573,500"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,"-198,500","-198,500"
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"1,010,000,000",0
III. Các khoản phải thu ngắn hạn,130,,"207,128,892,109","241,933,107,021"
1. Phải thu ngắn hạn của khách hàng,131,,"194,383,690,093","227,347,975,717"
2. Trả trước cho người bán ngắn hạn,132,,"8,402,984,284","9,236,337,868"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"44,652,334","44,652,334"
6. Phải thu ngắn hạn khác,136,,"13,825,629,825","19,957,834,872"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-9,528,064,427","-14,653,693,770"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"159,552,014,654","185,294,118,731"
1. Hàng tồn kho,141,,"168,748,644,172","192,982,010,304"
2. Dự phòng giảm giá hàng tồn kho,149,,"-9,196,629,518","-7,687,891,573"
V.Tài sản ngắn hạn khác,150,,"94,711,683,316","90,710,126,280"
1. Chi phí trả trước ngắn hạn,151,,"1,950,819,713","2,876,362,546"
2. Thuế GTGT được khấu trừ,152,,"92,649,385,782","87,734,996,154"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"111,477,821","98,767,580"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"306,990,375,459","326,887,059,494"
I. Các khoản phải thu dài hạn,210,,"6,336,200,295","9,082,670,846"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"6,336,200,295","9,082,670,846"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"210,872,926,168","223,062,548,059"
1. Tài sản cố định hữu hình,221,,"154,383,477,962","153,385,431,792"
- Nguyên giá,222,,"453,514,901,629","435,540,734,393"
- Giá trị hao mòn lũy kế,223,,"-299,131,423,667","-282,155,302,601"
2. Tài sản cố định thuê tài chính,224,,"44,041,388,252","56,726,624,321"
- Nguyên giá,225,,"61,130,234,369","76,442,099,605"
- Giá trị hao mòn lũy kế,226,,"-17,088,846,117","-19,715,475,284"
3. Tài sản cố định vô hình,227,,"12,448,059,954","12,950,491,946"
- Nguyên giá,228,,"19,473,587,160","19,473,587,160"
- Giá trị hao mòn lũy kế,229,,"-7,025,527,206","-6,523,095,214"
III. Bất động sản đầu tư,230,,"39,327,916,248","40,188,348,116"
- Nguyên giá,231,,"43,378,125,925","43,378,125,925"
- Giá trị hao mòn lũy kế,232,,"-4,050,209,677","-3,189,777,809"
IV. Tài sản dở dang dài hạn,240,,"1,061,336,500","1,215,560,782"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,"1,061,336,500","1,215,560,782"
2. Chi phí xây dựng cơ bản dở dang,242,,0,0
V. Đầu tư tài chính dài hạn,250,,0,0
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,0,0
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,0
VI. Tài sản dài hạn khác,260,,"49,391,996,248","53,337,931,691"
1. Chi phí trả trước dài hạn,261,,"42,659,943,394","45,482,508,951"
2. Tài sản thuế thu nhập hoãn lại,262,,"6,732,052,854","7,855,422,740"
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,0,0
TỔNG CỘNG TÀI SẢN,270,,"783,058,199,294","864,518,291,127"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"307,805,817,426","350,792,085,389"
I. Nợ ngắn hạn,310,,"285,311,948,920","319,431,722,141"
1. Phải trả người bán ngắn hạn,311,,"35,660,413,398","40,022,880,659"
2. Người mua trả tiền trước ngắn hạn,312,,"2,018,632,202","1,226,792,855"
3. Thuế và các khoản phải nộp nhà nước,313,,"845,379,626","2,408,909,882"
4. Phải trả người lao động,314,,"725,842,400","1,163,093,219"
5. Chi phí phải trả ngắn hạn,315,,"4,424,003,703","3,444,431,464"
6. Phải trả nội bộ ngắn hạn,316,,0,0
