Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"62,607,594,743","83,799,117,218"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"29,859,211,144","23,516,000,755"
- Các khoản dự phòng,03,,"2,972,205,550","963,052,926"
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"230,631,337","-268,473,890"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-30,064,663","-555,332,075"
- Chi phí lãi vay,06,,"16,675,099,240","10,059,223,993"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"112,314,677,351","117,513,588,927"
"- Tăng, giảm các khoản phải thu",09,,"-21,686,997,433","-73,515,711,206"
"- Tăng, giảm hàng tồn kho",10,,"-45,277,855,393","-23,601,277,696"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"6,689,636,563","-58,701,102,999"
"- Tăng, giảm chi phí trả trước",12,,"24,558,288,235","1,651,982,583"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-16,675,099,240","-10,059,223,993"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-15,337,127,408","-21,414,379,507"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-4,689,192,000","-3,758,314,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"39,896,330,675","-71,884,437,891"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-526,469,611","-54,238,920,126"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,"8,322,001","63,883,999"
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"30,064,663","555,332,075"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-488,082,947","-53,619,704,052"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
2.Tiền trả lại vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,32,,0,0
3.Tiền thu từ đi vay,33,,"436,108,524,481","357,606,135,098"
4.Tiền trả nợ gốc vay,34,,"-414,775,589,987","-214,207,770,598"
5.Tiền chi trả nợ gốc thuê tài chính,35,,"-24,228,250,839","-20,621,453,459"
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-41,002,367,660","-7,667,898,865"
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-43,897,684,005","115,109,012,176"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-4,489,436,277","-10,395,129,767"
Tiền và tương đương tiền đầu kỳ,60,,"18,599,696,437","28,992,910,276"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,"-275,777,417","1,915,928"
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"13,834,482,743","18,599,696,437"
