Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"406,128,144,719","429,452,672,996"
I. Tiền và các khoản tương đương tiền,110,,"8,013,581,332","3,075,179,875"
1. Tiền,111,,"7,959,041,044","3,022,429,269"
2. Các khoản tương đương tiền,112,,"54,540,288","52,750,606"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"375,000","375,000"
1. Chứng khoán kinh doanh,121,,"573,500","573,500"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,"-198,500","-198,500"
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,0,0
III. Các khoản phải thu ngắn hạn,130,,"240,209,838,336","299,024,901,383"
1. Phải thu ngắn hạn của khách hàng,131,,"207,229,871,791","256,074,158,513"
2. Trả trước cho người bán ngắn hạn,132,,"3,855,286,456","6,855,043,857"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"44,652,334","44,652,334"
6. Phải thu ngắn hạn khác,136,,"36,358,532,192","45,248,401,980"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-7,278,504,437","-10,496,541,655"
8. Tài sản Thiếu chờ xử lý,139,,,"1,299,186,354"
IV. Hàng tồn kho,140,,"72,709,312,241","52,622,203,579"
1. Hàng tồn kho,141,,"78,632,558,492","57,467,954,605"
2. Dự phòng giảm giá hàng tồn kho,149,,"-5,923,246,251","-4,845,751,026"
V.Tài sản ngắn hạn khác,150,,"85,195,037,810","74,730,013,159"
1. Chi phí trả trước ngắn hạn,151,,"2,018,205,605","1,259,044,041"
2. Thuế GTGT được khấu trừ,152,,"83,078,064,625","73,470,969,118"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"98,767,580",0
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"322,999,600,193","347,507,894,496"
I. Các khoản phải thu dài hạn,210,,"9,082,670,846","9,740,432,528"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"9,082,670,846","9,740,432,528"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"194,794,857,238","211,493,532,340"
1. Tài sản cố định hữu hình,221,,"128,603,669,685","129,322,417,678"
- Nguyên giá,222,,"408,108,343,674","386,554,123,981"
- Giá trị hao mòn lũy kế,223,,"-279,504,673,989","-257,231,706,303"
2. Tài sản cố định thuê tài chính,224,,"56,726,624,321","73,128,678,150"
- Nguyên giá,225,,"76,442,099,605","88,078,034,157"
- Giá trị hao mòn lũy kế,226,,"-19,715,475,284","-14,949,356,007"
3. Tài sản cố định vô hình,227,,"9,464,563,232","9,042,436,512"
- Nguyên giá,228,,"15,615,132,992","14,530,515,999"
- Giá trị hao mòn lũy kế,229,,"-6,150,569,760","-5,488,079,487"
III. Bất động sản đầu tư,230,,"40,188,348,116","41,923,473,153"
- Nguyên giá,231,,"43,378,125,925","43,378,125,925"
- Giá trị hao mòn lũy kế,232,,"-3,189,777,809","-1,454,652,772"
IV. Tài sản dở dang dài hạn,240,,"566,280,175","4,889,716,469"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"566,280,175","4,889,716,469"
V. Đầu tư tài chính dài hạn,250,,"30,100,000,000","30,100,000,000"
1. Đầu tư vào công ty con,251,,"30,100,000,000","30,100,000,000"
