Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"550,636,918,654","501,817,680,355"
I. Tiền và các khoản tương đương tiền,110,,"12,267,239,543","18,599,696,437"
1. Tiền,111,,"12,217,239,543","18,549,696,437"
2. Các khoản tương đương tiền,112,,"50,000,000","50,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"375,000","375,000"
1. Chứng khoán kinh doanh,121,,"573,500","573,500"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,"-198,500","-198,500"
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,0,0
III. Các khoản phải thu ngắn hạn,130,,"242,325,910,210","270,211,939,308"
1. Phải thu ngắn hạn của khách hàng,131,,"196,955,128,104","246,702,424,335"
2. Trả trước cho người bán ngắn hạn,132,,"11,982,418,612","14,996,778,426"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"44,652,334","52,974,334"
6. Phải thu ngắn hạn khác,136,,"40,644,719,239","19,053,021,057"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-8,600,194,434","-11,892,445,199"
8. Tài sản Thiếu chờ xử lý,139,,"1,299,186,355","1,299,186,355"
IV. Hàng tồn kho,140,,"202,978,551,363","126,913,668,863"
1. Hàng tồn kho,141,,"208,250,582,564","131,356,777,733"
2. Dự phòng giảm giá hàng tồn kho,149,,"-5,272,031,201","-4,443,108,870"
V.Tài sản ngắn hạn khác,150,,"93,064,842,538","86,092,000,747"
1. Chi phí trả trước ngắn hạn,151,,"4,122,738,556","2,495,885,482"
2. Thuế GTGT được khấu trừ,152,,"88,942,103,982","83,596,115,265"
3. Thuế và các khoản khác phải thu Nhà nước,153,,0,0
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"355,772,753,900","385,196,421,561"
I. Các khoản phải thu dài hạn,210,,"9,914,722,370","9,276,452,363"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"9,914,722,370","9,276,452,363"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"246,958,359,570","228,540,789,045"
1. Tài sản cố định hữu hình,221,,"156,641,825,346","142,994,036,927"
- Nguyên giá,222,,"408,665,831,622","380,746,144,020"
- Giá trị hao mòn lũy kế,223,,"-252,024,006,276","-237,752,107,093"
2. Tài sản cố định thuê tài chính,224,,"78,993,447,204","73,642,215,133"
