Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"18,015,643,740","29,908,982,593"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"22,180,521,369","17,017,918,993"
- Các khoản dự phòng,03,,"-2,463,328,434","816,086,146"
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"128,694,836","-890,455,662"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-20,706,452","-21,565,106"
- Chi phí lãi vay,06,,"12,735,634,526","7,624,420,245"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"50,576,459,585","54,455,387,209"
"- Tăng, giảm các khoản phải thu",09,,"25,071,598,603","-64,243,087,391"
"- Tăng, giảm hàng tồn kho",10,,"-76,893,804,832","-49,282,729,092"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"21,104,948,348","51,714,180,731"
"- Tăng, giảm chi phí trả trước",12,,"22,449,016,677","1,014,007,150"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-12,735,634,526","-7,624,420,245"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-12,193,621,205","-10,411,432,085"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-4,689,192,000","-3,758,314,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"12,689,770,650","-28,136,407,723"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-487,296,883","-8,404,759,249"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,"8,322,000","33,329,999"
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"20,706,453","21,565,106"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-458,268,430","-8,349,864,144"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"305,061,438,635","192,710,405,181"
4.Tiền chi trả nợ gốc vay,34,,"-279,339,335,182","-157,018,927,382"
5.Tiền chi trả nợ gốc thuê tài chính,35,,"-18,981,457,583","-16,284,701,140"
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-25,292,471,940","-40,211,125"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-18,551,826,070","19,366,565,534"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-6,320,323,850","-17,119,706,333"
Tiền và tương đương tiền đầu kỳ,60,,"18,599,696,437","28,992,910,276"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,"-12,133,044","862,425,953"
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"12,267,239,543","12,735,629,896"
