Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"554,327,436,433","560,057,341,223"
I. Tiền và các khoản tương đương tiền,110,,"4,726,592,868","13,834,482,743"
1. Tiền,111,,"4,672,529,522","13,781,732,137"
2. Các khoản tương đương tiền,112,,"54,063,346","52,750,606"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"375,000","375,000"
1. Chứng khoán kinh doanh,121,,"573,500","573,500"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,"-198,500","-198,500"
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,0,0
III. Các khoản phải thu ngắn hạn,130,,"258,120,130,012","282,327,627,979"
1. Phải thu ngắn hạn của khách hàng,131,,"237,557,033,266","251,290,245,267"
2. Trả trước cho người bán ngắn hạn,132,,"10,958,409,077","10,232,617,715"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"44,652,334","44,652,334"
6. Phải thu ngắn hạn khác,136,,"23,264,062,840","33,123,721,892"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-15,003,213,860","-13,662,795,584"
8. Tài sản Thiếu chờ xử lý,139,,"1,299,186,355","1,299,186,355"
IV. Hàng tồn kho,140,,"197,846,256,112","170,989,669,091"
1. Hàng tồn kho,141,,"205,786,256,380","176,634,633,126"
2. Dự phòng giảm giá hàng tồn kho,149,,"-7,940,000,268","-5,644,964,035"
V.Tài sản ngắn hạn khác,150,,"93,634,082,441","92,905,186,410"
1. Chi phí trả trước ngắn hạn,151,,"5,235,674,567","2,027,482,238"
2. Thuế GTGT được khấu trừ,152,,"88,393,898,130","90,877,704,172"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"4,509,744",0
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"337,522,894,138","351,236,135,810"
I. Các khoản phải thu dài hạn,210,,"9,978,637,807","9,740,432,528"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"9,978,637,807","9,740,432,528"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"227,069,323,492","239,756,189,108"
1. Tài sản cố định hữu hình,221,,"147,077,778,617","155,475,799,333"
- Nguyên giá,222,,"420,410,619,300","413,986,514,700"
- Giá trị hao mòn lũy kế,223,,"-273,332,840,683","-258,510,715,367"
2. Tài sản cố định thuê tài chính,224,,"66,786,062,011","73,128,678,150"
- Nguyên giá,225,,"88,078,034,157","88,078,034,157"
- Giá trị hao mòn lũy kế,226,,"-21,291,972,146","-14,949,356,007"
3. Tài sản cố định vô hình,227,,"13,205,482,864","11,151,711,625"
- Nguyên giá,228,,"19,473,587,160","16,779,481,516"
- Giá trị hao mòn lũy kế,229,,"-6,268,104,296","-5,627,769,891"
III. Bất động sản đầu tư,230,,"40,625,694,700","41,923,473,153"
- Nguyên giá,231,,"43,378,125,925","43,378,125,925"
- Giá trị hao mòn lũy kế,232,,"-2,752,431,225","-1,454,652,772"
IV. Tài sản dở dang dài hạn,240,,"4,651,291,862","5,199,791,273"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"4,651,291,862","5,199,791,273"
V. Đầu tư tài chính dài hạn,250,,0,0
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,0,0
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,0
VI. Tài sản dài hạn khác,260,,"55,197,946,277","54,616,249,748"
1. Chi phí trả trước dài hạn,261,,"45,168,307,676","45,825,901,138"
2. Tài sản thuế thu nhập hoãn lại,262,,"10,029,638,601","8,790,348,610"
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,0,0
TỔNG CỘNG TÀI SẢN,270,,"891,850,330,571","911,293,477,033"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"389,117,343,682","375,791,751,917"
I. Nợ ngắn hạn,310,,"348,388,191,266","322,942,450,503"
1. Phải trả người bán ngắn hạn,311,,"38,757,840,442","51,850,926,320"
2. Người mua trả tiền trước ngắn hạn,312,,"486,202,418","2,487,593,707"
3. Thuế và các khoản phải nộp nhà nước,313,,"2,312,852,777","10,259,229,729"
4. Phải trả người lao động,314,,"11,613,111,577","519,364,000"
5. Chi phí phải trả ngắn hạn,315,,"12,135,224,950","11,488,018,913"
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,"4,450,315,280","2,660,381,305"
9. Phải trả ngắn hạn khác,319,,"56,571,616,543","32,536,552,616"
10. Vay và nợ thuê tài chính ngắn hạn,320,,"222,014,139,664","209,474,397,830"
11. Dự phòng phải trả ngắn hạn,321,,0,0
12. Quỹ khen thưởng phúc lợi,322,,"46,887,615","1,665,986,083"
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"40,729,152,416","52,849,301,414"
1. Phải trả người bán dài hạn,331,,0,0
2. Người mua trả tiền trước dài hạn,332,,0,0
3. Chi phí phải trả dài hạn,333,,0,0
4. Phải trả nội bộ về vốn kinh doanh,334,,0,0
5. Phải trả nội bộ dài hạn,335,,0,0
6. Doanh thu chưa thực hiện dài hạn,336,,0,0
7. Phải trả dài hạn khác,337,,"73,800,000","17,000,000"
8. Vay và nợ thuê tài chính dài hạn,338,,"40,461,274,416","52,482,223,414"
9. Trái phiếu chuyển đổi,339,,0,0
10. Cổ phiếu ưu đãi,340,,0,0
11. Thuế thu nhập hoãn lại phải trả,341,,0,0
12. Dự phòng phải trả dài hạn,342,,"194,078,000","350,078,000"
13. Quỹ phát triển khoa học và công nghệ,343,,0,0
D.VỐN CHỦ SỞ HỮU,400,,"502,732,986,889","535,501,725,116"
I. Vốn chủ sở hữu,410,,"502,732,986,889","535,501,725,116"
1. Vốn góp của chủ sở hữu,411,,"273,664,760,000","273,664,760,000"
- Cổ phiếu phổ thông có quyền biểu quyết,411a,,"273,664,760,000","273,664,760,000"
- Cổ phiếu ưu đãi,411b,,0,0
2. Thặng dư vốn cổ phần,412,,"94,625,673,463","94,625,673,463"
3. Quyền chọn chuyển đổi trái phiếu,413,,0,0
4. Vốn khác của chủ sở hữu,414,,0,0
5. Cổ phiếu quỹ,415,,"-425,000,000","-425,000,000"
6. Chênh lệch đánh giá lại tài sản,416,,0,0
7. Chênh lệch tỷ giá hối đoái,417,,"14,594,981,065","14,594,981,065"
8. Quỹ đầu tư phát triển,418,,"5,915,838,779","3,366,908,114"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,0,0
10. Quỹ khác thuộc vốn chủ sở hữu,420,,0,0
11. Lợi nhuận sau thuế chưa phân phối,421,,"114,356,733,582","149,674,402,474"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,"112,297,556,076","98,695,789,170"
- LNST chưa phân phối kỳ này,421b,,"2,059,177,506","50,978,613,304"
12. Nguồn vốn đầu tư XDCB,422,,0,0
13. Lợi ích cổ đông không kiểm soát,429,,0,0
II. Nguồn kinh phí và quỹ khác,430,,0,0
1. Nguồn kinh phí,431,,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,432,,0,0
TỔNG CỘNG NGUỒN VỐN,440,,"891,850,330,571","911,293,477,033"
