Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"70,695,495,015","129,946,619,101","291,693,670,547","343,671,246,542"
2. Các khoản giảm trừ doanh thu,02,,"16,146,030","198,390,911","16,146,030",
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"70,679,348,985","129,748,228,190","291,677,524,517","343,671,246,542"
4. Giá vốn hàng bán,11,,"44,208,250,757","73,360,342,722","179,166,952,857","203,498,477,798"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"26,471,098,228","56,387,885,468","112,510,571,660","140,172,768,744"
6. Doanh thu hoạt động tài chính,21,,"2,153,193,558","339,671,721","3,772,504,766","2,280,641,904"
7. Chi phí tài chính,22,,"1,649,198,197","710,348,537","4,740,993,294","4,757,110,095"
- Trong đó: Chi phí lãi vay,23,,"1,054,522,209","772,989,034","2,839,557,998","4,853,039,991"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"6,709,237,044","9,557,818,583","25,732,477,411","24,454,012,935"
10. Chi phí quản lý doanh nghiệp,26,,"16,209,841,476","11,441,995,791","44,111,894,809","33,065,923,911"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"4,056,015,069","35,017,394,278","41,697,710,912","80,176,363,707"
12. Thu nhập khác,31,,"74,681,510","43,528,725","292,017,917","51,429,453"
13. Chi phí khác,32,,102,"6,796,513",527,"-318,987,764"
14. Lợi nhuận khác(40=31-32),40,,"74,681,408","36,732,212","292,017,390","370,417,217"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"4,130,696,477","35,054,126,490","41,989,728,302","80,546,780,924"
16. Chi phí thuế TNDN hiện hành,51,,"754,065,063","4,151,266,122","6,332,298,128","9,889,700,678"
17. Chi phí thuế TNDN hoãn lại,52,,"226,400,862","-96,777,731","1,132,987,230","-133,912,016"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"3,150,230,552","30,999,638,099","34,524,442,944","70,790,992,262"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,0,0
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
