Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"125,447,933,066","106,752,607,120","228,285,820,381","189,321,915,025"
2. Các khoản giảm trừ doanh thu,02,,"3,780,699,386","16,205,755","6,875,254,530","16,205,755"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"121,667,233,680","106,736,401,365","221,410,565,851","189,305,709,270"
4. Giá vốn hàng bán,11,,"79,062,507,561","57,904,679,942","142,163,313,414","115,620,891,874"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"42,604,726,119","48,831,721,423","79,247,252,437","73,684,817,396"
6. Doanh thu hoạt động tài chính,21,,"68,324,462","-71,067,221","71,426,636","501,244,491"
7. Chi phí tài chính,22,,"4,452,954,359","2,279,616,346","8,369,072,958","4,738,412,548"
- Trong đó: Chi phí lãi vay,23,,"4,384,595,341","2,196,589,075","8,221,040,630","4,565,831,991"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"16,006,256,478","26,496,484,660","33,318,066,974","34,229,327,615"
10. Chi phí quản lý doanh nghiệp,26,,"12,644,111,861","10,195,708,946","22,997,961,079","20,808,743,023"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"9,569,727,883","9,788,844,250","14,633,578,062","14,409,578,701"
12. Thu nhập khác,31,,"13,890,993","54,385,209","21,728,466","496,750,198"
13. Chi phí khác,32,,"90,099","91,427","103,535","91,427"
14. Lợi nhuận khác(40=31-32),40,,"13,800,894","54,293,782","21,624,931","496,658,771"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"9,583,528,777","9,843,138,032","14,655,202,993","14,906,237,472"
16. Chi phí thuế TNDN hiện hành,51,,"1,573,495,577","3,850,791,664","2,577,150,829","5,884,891,104"
17. Chi phí thuế TNDN hoãn lại,52,,"305,518,246","-1,363,878,309","272,313,206","-2,412,004,304"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"7,704,514,954","7,356,224,677","11,805,738,958","11,433,350,672"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,0,0
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
