,STT,Tên báo cáo,Đơn vị,Trích yếu,Thời gian gửi,Mã doanh nghiệp,Tên công ty,Tiêu đề,Saving_path
0,1,Báo cáo tài chính Tổng hợp - Quý,CTCP Siam Brothers Việt Nam,Báo cáo tài chính tổng hợp quý 3 2024,28/10/2024 00:00:00,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/SBV/Báo cáo tài chính tổng hợp quý 3 2024_28_10_2024 00_00_00
1,2,Báo cáo tài chính Hợp nhất - Quý,CTCP Siam Brothers Việt Nam,Báo cáo tài chính hợp nhất Quý 3 2024,28/10/2024 00:00:00,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/SBV/Báo cáo tài chính hợp nhất Quý 3 2024_28_10_2024 00_00_00
2,3,Báo cáo tài chính Tổng hợp - Bán niên,CTCP Siam Brothers Việt Nam,Báo cáo tài chính tổng hợp soát xét bán niên 2024,29/08/2024 00:00:00,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Tổng hợp - Bán niên,./crawl_table/SBV/Báo cáo tài chính tổng hợp soát xét bán niên 2024_29_08_2024 00_00_00
3,4,Báo cáo tài chính Hợp nhất - Bán niên,CTCP Siam Brothers Việt Nam,Bao cao tai chinh hop nhat soat xet ban nien 2024,29/08/2024 00:00:00,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Hợp nhất - Bán niên,./crawl_table/SBV/Bao cao tai chinh hop nhat soat xet ban nien 2024_29_08_2024 00_00_00
4,5,Báo cáo tài chính Hợp nhất - Quý,CTCP Siam Brothers Việt Nam,Công ty CP Siam brothers VN công bố BCTC hợp nhất quý 2 2024,30/07/2024 14:18:06,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/SBV/Báo cáo tài chính Hợp nhất - Quý_30_07_2024 14_18_06
5,6,Báo cáo tài chính Tổng hợp - Quý,CTCP Siam Brothers Việt Nam,Công ty CP Siam brothers VN công bố BCTC tổng hơp quý 2 2024,30/07/2024 13:53:00,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/SBV/Báo cáo tài chính Tổng hợp - Quý_30_07_2024 13_53_00
6,7,Báo cáo tài chính Hợp nhất - Quý,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers VN công bố BCTC hợp nhất quý 1 2024,23/04/2024 15:03:35,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/SBV/Báo cáo tài chính Hợp nhất - Quý_23_04_2024 15_03_35
7,8,Báo cáo tài chính Tổng hợp - Quý,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers VN công bố BCTC tổng hợp quý 1 2024,23/04/2024 14:18:51,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/SBV/Báo cáo tài chính Tổng hợp - Quý_23_04_2024 14_18_51
8,9,Báo cáo tài chính Tổng hợp - Năm,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers VN công bố BCTC tổng hợp 2023,30/03/2024 21:24:54,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Tổng hợp - Năm,./crawl_table/SBV/Báo cáo tài chính Tổng hợp - Năm_30_03_2024 21_24_54
9,10,Báo cáo tài chính Hợp nhất - Năm,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers VN công bố BCTC hợp nhất kiểm toán 2023,30/03/2024 20:14:53,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Hợp nhất - Năm,./crawl_table/SBV/Báo cáo tài chính Hợp nhất - Năm_30_03_2024 20_14_53
10,11,Báo cáo tài chính Tổng hợp - Quý,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers VN công bố BCTC tổng hợp quý 4 2023,30/01/2024 09:27:03,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/SBV/Báo cáo tài chính Tổng hợp - Quý_30_01_2024 09_27_03
11,12,Báo cáo tài chính Hợp nhất - Quý,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers VN công bố BCTC hợp nhất quý 4 2023,29/01/2024 15:11:11,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/SBV/Báo cáo tài chính Hợp nhất - Quý_29_01_2024 15_11_11
12,13,Báo cáo tài chính Hợp nhất - Quý,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers Vn công bố BCTC hợp nhất quý 3 2023,30/10/2023 10:39:22,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/SBV/Báo cáo tài chính Hợp nhất - Quý_30_10_2023 10_39_22
13,14,Báo cáo tài chính Tổng hợp - Quý,CTCP Siam Brothers Việt Nam,Công ty CP Siam brothers VN công bố BCTC tổng hợp quý 3 2023,30/10/2023 10:20:45,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/SBV/Báo cáo tài chính Tổng hợp - Quý_30_10_2023 10_20_45
14,15,Báo cáo tài chính Hợp nhất - Bán niên,CTCP Siam Brothers Việt Nam,Công ty Cp Siam Brothers VN công bố BCTC Hợp nhất soát xét bán niên 2023,29/08/2023 14:43:12,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Hợp nhất - Bán niên,./crawl_table/SBV/Báo cáo tài chính Hợp nhất - Bán niên_29_08_2023 14_43_12
15,16,Báo cáo tài chính Tổng hợp - Bán niên,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers VN công bố BCTC tổng hợp soát xét bán niên 2023,29/08/2023 14:24:50,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Tổng hợp - Bán niên,./crawl_table/SBV/Báo cáo tài chính Tổng hợp - Bán niên_29_08_2023 14_24_50
16,17,Báo cáo tài chính Tổng hợp - Quý,CTCP Siam Brothers Việt Nam,Công ty CP Siam brothers VN công bố báo cáo tài chính tổng hợp quý 2 2023,27/07/2023 17:07:53,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/SBV/Báo cáo tài chính Tổng hợp - Quý_27_07_2023 17_07_53
17,18,Báo cáo tài chính Hợp nhất - Quý,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers VN công bố BCTC hợp nhất quý 2 2023,27/07/2023 16:44:40,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/SBV/Báo cáo tài chính Hợp nhất - Quý_27_07_2023 16_44_40
