Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"28,441,526,670","43,038,819,076"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"3,975,754,656","4,119,254,661"
- Các khoản dự phòng,03,,0,"-7,523,109,041"
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"10,690,642",0
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-11,312,711,232","-7,809,310,907"
- Chi phí lãi vay,06,,"29,955,154,139","30,350,784,063"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"51,070,414,875","62,176,437,852"
"- Tăng, giảm các khoản phải thu",09,,"52,200,196,051","319,494,550,150"
"- Tăng, giảm hàng tồn kho",10,,"33,924,682,740","-388,189,355,783"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"-89,166,194,281","186,659,392,642"
"- Tăng, giảm chi phí trả trước",12,,"3,438,274,571","-298,763,495"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-36,401,673,308","-39,141,301,346"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-6,649,216,898","-4,502,318,849"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-3,579,800,000","-3,478,560,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"4,836,683,750","132,720,081,171"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,0,"-1,110,000,000"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,"-16,486,407,576",0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"11,312,711,232","7,809,310,907"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-5,173,696,344","6,699,310,907"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
2.Tiền trả lại vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,32,,0,0
3.Tiền thu từ đi vay,33,,"1,756,107,629,411","1,046,402,898,812"
4.Tiền trả nợ gốc vay,34,,"-1,638,010,616,030","-1,076,444,102,554"
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-29,966,998,000","-29,967,185,400"
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"88,130,015,381","-60,008,389,142"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"87,793,002,787","79,411,002,936"
Tiền và tương đương tiền đầu kỳ,60,,"422,714,925,442","343,303,922,506"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,"-10,690,642",0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"510,497,237,587","422,714,925,442"
