Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"2,607,714,683,955","2,609,217,028,112",,
2. Các khoản giảm trừ doanh thu,02,,0,0,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"2,607,714,683,955","2,609,217,028,112",,
4. Giá vốn hàng bán,11,,"2,504,504,376,481","2,540,149,526,267",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"103,210,307,474","69,067,501,845",,
6. Doanh thu hoạt động tài chính,21,,"17,543,266,437","11,315,358,268",,
7. Chi phí tài chính,22,,"42,077,212,990","30,093,880,733",,
- Trong đó: Chi phí lãi vay,23,,"42,077,212,990","29,955,154,139",,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,,
9. Chi phí bán hàng,25,,"1,458,260,660","1,368,206,083",,
10. Chi phí quản lý doanh nghiệp,26,,"27,048,660,836","20,637,004,896",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"50,169,439,425","28,283,768,401",,
12. Thu nhập khác,31,,"50,352,149","378,778,555",,
13. Chi phí khác,32,,"239,854,488","221,020,286",,
14. Lợi nhuận khác(40=31-32),40,,"-189,502,339","157,758,269",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"49,979,937,086","28,441,526,670",,
16. Chi phí thuế TNDN hiện hành,51,,"13,571,795,183","5,903,532,375",,
17. Chi phí thuế TNDN hoãn lại,52,,0,0,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"36,408,141,903","22,537,994,295",,
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,,
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,,
21. Lãi cơ bản trên cổ phiếu(*),70,,"2,187","1,279",,
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,,
