Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"21,468,962,636","34,030,108,442"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"2,981,815,992","3,125,315,997"
- Các khoản dự phòng,03,,0,"-817,128,203"
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,0,0
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-5,637,115,523","-4,948,786,971"
- Chi phí lãi vay,06,,"19,165,691,945","19,090,118,908"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"37,979,355,050","50,479,628,173"
"- Tăng, giảm các khoản phải thu",09,,"64,257,914,687","187,047,277,363"
"- Tăng, giảm hàng tồn kho",10,,"-278,539,181,929","-177,205,973,232"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"-59,851,833,695","80,114,098,551"
"- Tăng, giảm chi phí trả trước",12,,"-102,015,523","-6,120,107,700"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-25,753,588,137","-29,284,201,608"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-1,347,964,612","-4,502,318,849"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-3,052,800,000","-2,791,640,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"-266,410,114,159","97,736,762,698"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,0,"-1,110,000,000"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,"-16,486,407,576",0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"5,637,115,523","4,948,786,971"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-10,849,292,053","3,838,786,971"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"1,572,816,095,942","698,168,619,155"
4.Tiền chi trả nợ gốc vay,34,,"-1,536,246,063,041","-792,864,452,837"
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-29,966,998,000",0
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"6,603,034,901","-94,695,833,682"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-270,656,371,311","6,879,715,987"
Tiền và tương đương tiền đầu kỳ,60,,"422,714,925,442","343,303,922,506"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"152,058,554,131","350,183,638,493"
