Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"614,106,130,419","321,723,205,582","2,235,131,989,314","2,596,706,718,304"
2. Các khoản giảm trừ doanh thu,02,,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"614,106,130,419","321,723,205,582","2,235,131,989,314","2,596,706,718,304"
4. Giá vốn hàng bán,11,,"591,438,517,002","296,926,313,039","2,135,023,964,631","2,497,980,393,748"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"22,667,613,417","24,796,892,543","100,108,024,683","98,726,324,556"
6. Doanh thu hoạt động tài chính,21,,"1,349,749,348","1,102,965,712","4,635,525,135","4,111,484,579"
7. Chi phí tài chính,22,,"16,165,527,432","7,594,679,483","39,280,898,843","29,739,931,239"
- Trong đó: Chi phí lãi vay,23,,"15,945,379,118","10,634,315,303","39,060,750,529","32,779,567,059"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"274,689,303","239,318,479","1,032,978,715","639,190,554"
10. Chi phí quản lý doanh nghiệp,26,,"5,407,161,942","5,700,771,808","19,732,121,118","20,653,445,964"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"2,169,984,088","12,365,088,485","44,697,551,142","51,805,241,378"
12. Thu nhập khác,31,,"10,847,243","184,947,631","19,938,152","1,578,089,950"
13. Chi phí khác,32,,"5,374,866","515,927,768","843,834,408","889,548,607"
14. Lợi nhuận khác(40=31-32),40,,"5,472,377","-330,980,137","-823,896,256","688,541,343"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"2,175,456,465","12,034,108,348","43,873,654,886","52,493,782,721"
16. Chi phí thuế TNDN hiện hành,51,,"1,115,231,067","4,832,968,937","10,103,869,299","12,809,711,350"
17. Chi phí thuế TNDN hoãn lại,52,,0,0,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"1,060,225,398","7,201,139,411","33,769,785,587","39,684,071,371"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,"2,254","2,331"
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
