Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"12,905,777,790","32,649,196,532"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"2,153,308,550","2,230,332,531"
- Các khoản dự phòng,03,,0,"-260,166,636"
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,0,0
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-2,940,584,818","-1,020,121,260"
- Chi phí lãi vay,06,,"18,410,712,198","15,190,734,390"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"30,529,213,720","48,780,884,648"
"- Tăng, giảm các khoản phải thu",09,,"-143,262,548,529","-376,445,378,592"
"- Tăng, giảm hàng tồn kho",10,,"-71,330,367,717","494,123,312,452"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"334,546,732,369","-284,131,200,429"
"- Tăng, giảm chi phí trả trước",12,,"-353,397,029","-4,336,458,203"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-19,090,999,948","-19,316,683,316"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-7,351,422,488","-5,795,857,731"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-2,782,200,000","-3,463,450,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"120,905,010,378","-150,584,831,171"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,0,0
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,"9,090,909"
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,"3,979,044,694",0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,"2,400,000,000"
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"2,940,584,818","1,011,030,351"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"6,919,629,512","3,420,121,260"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
2.Tiền trả lại vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,32,,0,0
3.Tiền thu từ đi vay,33,,"987,995,642,153","524,932,970,733"
4.Tiền chi trả nợ gốc vay,34,,"-997,860,670,813","-399,216,976,411"
5.Tiền trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,0,0
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,..37,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-9,865,028,660","125,715,994,322"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"117,959,611,230","-21,448,715,589"
Tiền và tương đương tiền đầu kỳ,60,,"346,058,357,323","313,908,471,337"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"464,017,968,553","292,459,755,748"
