Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"903,351,635,557","455,788,043,064",,
2. Các khoản giảm trừ doanh thu,02,,0,0,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"903,351,635,557","455,788,043,064",,
4. Giá vốn hàng bán,11,,"860,155,847,807","416,909,172,357",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"43,195,787,750","38,878,870,707",,
6. Doanh thu hoạt động tài chính,21,,"1,241,542,281","2,423,471,209",,
7. Chi phí tài chính,22,,"13,996,764,320","17,628,753,726",,
- Trong đó: Chi phí lãi vay,23,,"13,996,764,320","12,228,753,726",,
"8. Phần Lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,,
9. Chi phí bán hàng,25,,"203,433,983","322,573,060",,
10. Chi phí quản lý doanh nghiệp,26,,"10,029,836,935","31,297,092,674",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"20,207,294,793","-7,946,077,544",,
12. Thu nhập khác,31,,"4,306","32,363,502,147",,
13. Chi phí khác,32,,"146,055,148","4,300,000",,
14. Lợi nhuận khác(40=31-32),40,,"-146,050,842","32,359,202,147",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"20,061,243,951","24,413,124,603",,
16. Chi phí thuế TNDN hiện hành,51,,"3,897,048,790","4,882,624,921",,
17. Chi phí thuế TNDN hoãn lại,52,,0,0,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"16,164,195,161","19,530,499,682",,
19. Lợi nhuận sau thuế của công ty mẹ,61,,0,0,,
20.Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,,
21. Lãi cơ bản trên cổ phiếu(*),70,,"1,479","1,583",,
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,,
