Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"76,118,254,147","53,875,330,242"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"4,597,752,049","5,485,196,804"
- Các khoản dự phòng,03,,"-9,473,243,384","353,656,118"
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,0,0
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-45,626,748,538","-12,349,036,631"
- Chi phí lãi vay,06,,"28,545,981,227","16,508,073,787"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"54,161,995,501","63,873,220,320"
"- Tăng, giảm các khoản phải thu",09,,"-191,946,784,045","-53,201,239,100"
"- Tăng, giảm hàng tồn kho",10,,"208,337,048,422","17,793,805,017"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"-125,832,594,586","-228,141,303,614"
"- Tăng, giảm chi phí trả trước",12,,"7,150,605","543,658,664"
"- Tăng, giảm chứng khoán kinh doanh",13,,"6,235,270,000","1,440,000,000"
- Tiền lãi vay đã trả,14,,"-28,541,490,545","-16,483,368,787"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-21,141,829,738","-12,548,403,617"
- Tiền thu khác từ hoạt động kinh doanh,16,,"9,070,995",0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-5,557,300,000","-3,914,495,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"-104,269,463,391","-230,638,126,117"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-6,826,270,315",0
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,"-5,131,805,556",0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,"167,585,000,000"
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"9,645,704,188","5,067,036,631"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-2,312,371,683","172,652,036,631"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
2.Tiền trả lại vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,32,,0,0
3.Tiền thu từ đi vay,33,,"1,195,980,779,478","1,010,186,945,333"
4.Tiền trả nợ gốc vay,34,,"-1,073,612,261,682","-1,047,189,662,431"
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-29,966,962,000","-29,966,998,000"
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"92,401,555,796","-66,969,715,098"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-14,180,279,278","-124,955,804,584"
Tiền và tương đương tiền đầu kỳ,60,,"244,992,389,962","369,948,194,546"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"230,812,110,684","244,992,389,962"
